orderNumber,occurrenceID,family,scientificName,genus,species,subspecies,author,eventDate,year,state,individualCount,juvenileCount,adultCount,countMethod,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,locality,municipality,stateProvince,island,islandGroup,country,countryCode,recordedBy,basisOfRecord,disposition,etiket_ref,collection,determinavit (det.),occurrenceRemarks
68,WL:SNAIL:OCC:ES:00067,Helicidae,Hemicycla saponacea,Hemicycla,saponacea,,"(R.T. Lowe, 1861)",14/08/2016,2016,empty shell,7,1,6,exact,27.930978,-15.480764,25,Barranco de Guayadeque southern slope (S of Cueva Bermeja Höhlensiedlung),Agüimes,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
69,WL:SNAIL:OCC:ES:00068,Helicidae,Otala lactea,Otala,lactea,,"(O.F. Müller, 1774)",14/08/2016,2016,empty shell,1,0,1,exact,27.930978,-15.480764,25,Barranco de Guayadeque southern slope (S of Cueva Bermeja Höhlensiedlung),Agüimes,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
70,WL:SNAIL:OCC:ES:00069,Streptaxidae,Gibbulinella aff. dewinteri,Gibbulinella,aff. dewinteri,,,14/08/2016,2016,empty shell,2,0,2,exact,27.930978,-15.480764,25,Barranco de Guayadeque southern slope (S of Cueva Bermeja Höhlensiedlung),Agüimes,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,shell more slender than G. aff. dealbata
71,WL:SNAIL:OCC:ES:00070,Trissexodontidae,Caracollina lenticula,Caracollina,lenticula,,"(Michaud, 1831)",14/08/2016,2016,empty shell,1,0,1,exact,27.930978,-15.480764,25,Barranco de Guayadeque southern slope (S of Cueva Bermeja Höhlensiedlung),Agüimes,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
72,WL:SNAIL:OCC:ES:00071,Vitrinidae,Insulivitrina parryi,Insulivitrina,parryi,,"(Gude, 1896)",14/08/2016,2016,empty shell,1,0,1,exact,27.930978,-15.480764,25,Barranco de Guayadeque southern slope (S of Cueva Bermeja Höhlensiedlung),Agüimes,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
73,WL:SNAIL:OCC:ES:00072,Helicidae,Otala lactea,Otala,lactea,,"(O.F. Müller, 1774)",14/08/2016,2016,empty shell,3,0,3,exact,27.8744,-15.43375,25,Cruce de Arinaga,Agüimes,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
74,WL:SNAIL:OCC:ES:00073,Helicidae,Theba geminata,Theba,geminata,,"(Mousson, 1857)",14/08/2016,2016,empty shell,4,0,4,exact,27.8744,-15.43375,25,Cruce de Arinaga,Agüimes,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
75,WL:SNAIL:OCC:ES:00074,Geomitridae,Cernuella virgata,Cernuella,virgata,,"(da Costa, 1778)",14/09/2018,2018,empty shell,,,,,28.096479,-15.705672,25,Agaete hill (SW of Agaete),Agaete,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
76,WL:SNAIL:OCC:ES:00075,Helicidae,Theba geminata,Theba,geminata,,"(Mousson, 1857)",14/09/2018,2018,empty shell,,,,,28.096479,-15.705672,25,Agaete hill (SW of Agaete),Agaete,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
77,WL:SNAIL:OCC:ES:00076,Helicidae,Theba grasseti,Theba,grasseti,,"(Mousson, 1872)",14/09/2018,2018,empty shell,,,,,28.096479,-15.705672,25,Agaete hill (SW of Agaete),Agaete,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
78,WL:SNAIL:OCC:ES:00077,Geomitridae,Xerotricha aff. orbignii,Xerotricha,aff. orbignii,,,14/09/2018,2018,empty shell,,,,,28.096479,-15.705672,25,Agaete hill (SW of Agaete),Agaete,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
79,WL:SNAIL:OCC:ES:00078,Achatinidae,Rumina decollata,Rumina,decollata,,"(Linnaeus, 1758)",14/09/2018,2018,empty shell,,,,,28.096479,-15.705672,25,Agaete hill (SW of Agaete),Agaete,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
80,WL:SNAIL:OCC:ES:00079,Helicidae,Otala lactea,Otala,lactea,,"(O.F. Müller, 1774)",14/09/2018,2018,empty shell,,,,,28.096479,-15.705672,25,Agaete hill (SW of Agaete),Agaete,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
81,WL:SNAIL:OCC:ES:00080,Enidae,Napaeus interpunctatus,Napaeus,interpunctatus,,"(Wollaston, 1878)",14/09/2018,2018,empty shell,,,,,28.096479,-15.705672,25,Agaete hill (SW of Agaete),Agaete,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
82,WL:SNAIL:OCC:ES:00081,Trissexodontidae,Caracollina lenticula,Caracollina,lenticula,,"(Michaud, 1831)",14/09/2018,2018,empty shell,,,,,28.096479,-15.705672,25,Agaete hill (SW of Agaete),Agaete,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
83,WL:SNAIL:OCC:ES:00082,Geomitridae,Monilearia persimilis,Monilearia,persimilis,,"(Shuttleworth, 1852)",14/09/2018,2018,empty shell,,,,,28.096479,-15.705672,25,Agaete hill (SW of Agaete),Agaete,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,"shell smaller and more diamond shaped than M. cf. praeposita, very variable in shell height"
84,WL:SNAIL:OCC:ES:00083,Streptaxidae,Gibbulinella aff. dealbata,Gibbulinella,aff. dealbata,,,14/09/2018,2018,empty shell,,,,,28.096479,-15.705672,25,Agaete hill (SW of Agaete),Agaete,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,shell wider and more solid than G. aff. dewinteri
85,WL:SNAIL:OCC:ES:00084,Pomatiidae,Pomatias aff. laevigatus,Pomatias,aff. laevigatus,,,14/09/2018,2018,empty shell,,,,,28.096479,-15.705672,25,Agaete hill (SW of Agaete),Agaete,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,"smooth surface, same species as on Tenerife?"
86,WL:SNAIL:OCC:ES:00085,Helicidae,Hemicycla glasiana,Hemicycla,glasiana,,"(Shuttleworth, 1852)",14/09/2018,2018,empty shell,,,,,28.096479,-15.705672,25,Agaete hill (SW of Agaete),Agaete,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
87,WL:SNAIL:OCC:ES:00086,Helicidae,Hemicycla psathyra temperata,Hemicycla,psathyra,temperata,"(Mousson, 1872)",14/09/2018,2018,empty shell,,,,,28.096479,-15.705672,25,Agaete hill (SW of Agaete),Agaete,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,large flattened shells
88,WL:SNAIL:OCC:ES:00087,Enidae,Napaeus spec.,Napaeus,,,,14/09/2018,2018,empty shell,,,,,28.096479,-15.705672,25,Agaete hill (SW of Agaete),Agaete,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,"shell very much like N. arinagaensis (slenderness, convexity, size), but with white blotches"
89,WL:SNAIL:OCC:ES:00088,Helicidae,Hemicycla psathyra temperata,Hemicycla,psathyra,temperata,"(Mousson, 1872)",14/09/2018,2018,(sub)fossil,5,0,5,exact,28.086712,-15.70823,25,East of Playa de Guayedra,Agaete,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,large flattened shells
90,WL:SNAIL:OCC:ES:00089,Helicidae,Hemicycla glasiana,Hemicycla,glasiana,,"(Shuttleworth, 1852)",14/09/2018,2018,(sub)fossil,20,,,estimate,28.086712,-15.70823,25,East of Playa de Guayedra,Agaete,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
91,WL:SNAIL:OCC:ES:00090,Geomitridae,Monilearia persimilis,Monilearia,persimilis,,"(Shuttleworth, 1852)",14/09/2018,2018,(sub)fossil,6,0,6,exact,28.086712,-15.70823,25,East of Playa de Guayedra,Agaete,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,"shell smaller and more diamond shaped than M. cf. praeposita, very variable in shell height"
92,WL:SNAIL:OCC:ES:00091,Pomatiidae,Pomatias aff. laevigatus,Pomatias,aff. laevigatus,,,14/09/2018,2018,(sub)fossil,4,0,4,exact,28.086712,-15.70823,25,East of Playa de Guayedra,Agaete,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,"smooth surface, same species as on Tenerife?"
93,WL:SNAIL:OCC:ES:00092,Pomatiidae,Pomatias aff. laevigatus,Pomatias,aff. laevigatus,,,15/09/2018,2018,alive,1,0,1,exact,28.096479,-15.705672,25,Agaete hill (SW of Agaete),Agaete,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,N,,,Ward Langeraert,"smooth surface, same species as on Tenerife?"
94,WL:SNAIL:OCC:ES:00093,Helicidae,Theba geminata,Theba,geminata,,"(Mousson, 1857)",15/09/2018,2018,alive,1,0,1,exact,28.096479,-15.705672,25,Agaete hill (SW of Agaete),Agaete,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,N,,,Ward Langeraert,
95,WL:SNAIL:OCC:ES:00094,Geomitridae,Monilearia persimilis,Monilearia,persimilis,,"(Shuttleworth, 1852)",15/09/2018,2018,alive,2,1,1,exact,28.096479,-15.705672,25,Agaete hill (SW of Agaete),Agaete,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,N,,,Ward Langeraert,"shell smaller and more diamond shaped than M. cf. praeposita, very variable in shell height"
96,WL:SNAIL:OCC:ES:00095,Geomitridae,Cernuella virgata,Cernuella,virgata,,"(da Costa, 1778)",15/09/2018,2018,empty shell,,,,,28.096479,-15.705672,25,Agaete hill (SW of Agaete),Agaete,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
97,WL:SNAIL:OCC:ES:00096,Helicidae,Theba geminata,Theba,geminata,,"(Mousson, 1857)",15/09/2018,2018,empty shell,,,,,28.096479,-15.705672,25,Agaete hill (SW of Agaete),Agaete,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
98,WL:SNAIL:OCC:ES:00097,Helicidae,Theba grasseti,Theba,grasseti,,"(Mousson, 1872)",15/09/2018,2018,empty shell,,,,,28.096479,-15.705672,25,Agaete hill (SW of Agaete),Agaete,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
99,WL:SNAIL:OCC:ES:00098,Geomitridae,Xerotricha aff. orbignii,Xerotricha,aff. orbignii,,,15/09/2018,2018,empty shell,,,,,28.096479,-15.705672,25,Agaete hill (SW of Agaete),Agaete,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
100,WL:SNAIL:OCC:ES:00099,Achatinidae,Rumina decollata,Rumina,decollata,,"(Linnaeus, 1758)",15/09/2018,2018,empty shell,,,,,28.096479,-15.705672,25,Agaete hill (SW of Agaete),Agaete,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
101,WL:SNAIL:OCC:ES:00100,Helicidae,Otala lactea,Otala,lactea,,"(O.F. Müller, 1774)",15/09/2018,2018,empty shell,,,,,28.096479,-15.705672,25,Agaete hill (SW of Agaete),Agaete,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
102,WL:SNAIL:OCC:ES:00101,Enidae,Napaeus interpunctatus,Napaeus,interpunctatus,,"(Wollaston, 1878)",15/09/2018,2018,empty shell,,,,,28.096479,-15.705672,25,Agaete hill (SW of Agaete),Agaete,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
103,WL:SNAIL:OCC:ES:00102,Trissexodontidae,Caracollina lenticula,Caracollina,lenticula,,"(Michaud, 1831)",15/09/2018,2018,empty shell,,,,,28.096479,-15.705672,25,Agaete hill (SW of Agaete),Agaete,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
104,WL:SNAIL:OCC:ES:00103,Geomitridae,Monilearia persimilis,Monilearia,persimilis,,"(Shuttleworth, 1852)",15/09/2018,2018,empty shell,,,,,28.096479,-15.705672,25,Agaete hill (SW of Agaete),Agaete,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,"shell smaller and more diamond shaped than M. cf. praeposita, very variable in shell height"
105,WL:SNAIL:OCC:ES:00104,Streptaxidae,Gibbulinella aff. dealbata,Gibbulinella,aff. dealbata,,,15/09/2018,2018,empty shell,,,,,28.096479,-15.705672,25,Agaete hill (SW of Agaete),Agaete,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,shell wider and more solid than G. aff. dewinteri
106,WL:SNAIL:OCC:ES:00105,Pomatiidae,Pomatias aff. laevigatus,Pomatias,aff. laevigatus,,,15/09/2018,2018,empty shell,,,,,28.096479,-15.705672,25,Agaete hill (SW of Agaete),Agaete,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,"smooth surface, same species as on Tenerife?"
107,WL:SNAIL:OCC:ES:00106,Helicidae,Hemicycla glasiana,Hemicycla,glasiana,,"(Shuttleworth, 1852)",15/09/2018,2018,empty shell,,,,,28.096479,-15.705672,25,Agaete hill (SW of Agaete),Agaete,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
108,WL:SNAIL:OCC:ES:00107,Helicidae,Hemicycla psathyra temperata,Hemicycla,psathyra,temperata,"(Mousson, 1872)",15/09/2018,2018,empty shell,,,,,28.096479,-15.705672,25,Agaete hill (SW of Agaete),Agaete,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,large flattened shells
109,WL:SNAIL:OCC:ES:00108,Enidae,Napaeus spec.,Napaeus,,,,15/09/2018,2018,empty shell,,,,,28.096479,-15.705672,25,Agaete hill (SW of Agaete),Agaete,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,"shell very much like N. arinagaensis (slenderness, convexity, size), but with white blotches"
110,WL:SNAIL:OCC:ES:00109,Enidae,Napaeus interpunctatus,Napaeus,interpunctatus,,"(Wollaston, 1878)",16/09/2018,2018,empty shell,7,0,7,exact,28.13419,-15.666162,25,Northeast of San Isidro de Gáldar,Gáldar,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
111,WL:SNAIL:OCC:ES:00110,Streptaxidae,Gibbulinella aff. dealbata,Gibbulinella,aff. dealbata,,,16/09/2018,2018,empty shell,5,0,5,exact,28.13419,-15.666162,25,Northeast of San Isidro de Gáldar,Gáldar,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,shell wider and more solid than G. aff. dewinteri
112,WL:SNAIL:OCC:ES:00111,Helicidae,Hemicycla psathyra temperata,Hemicycla,psathyra,temperata,"(Mousson, 1872)",16/09/2018,2018,empty shell,4,0,4,exact,28.13419,-15.666162,25,Northeast of San Isidro de Gáldar,Gáldar,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,large flattened shells
113,WL:SNAIL:OCC:ES:00112,Vitrinidae,Insulivitrina parryi,Insulivitrina,parryi,,"(Gude, 1896)",16/09/2018,2018,empty shell,1,0,1,exact,28.13419,-15.666162,25,Northeast of San Isidro de Gáldar,Gáldar,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
114,WL:SNAIL:OCC:ES:00113,Helicidae,Hemicycla glasiana,Hemicycla,glasiana,,"(Shuttleworth, 1852)",17/09/2018,2018,(sub)fossil,20,,,estimate,27.870492,-15.390281,25,Montaña de Arinaga eastern slope,Agüimes,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
115,WL:SNAIL:OCC:ES:00114,Helicidae,Hemicycla ethelema,Hemicycla,ethelema,,"(J. Mabille, 1882)",17/09/2018,2018,(sub)fossil,12,0,12,exact,27.870492,-15.390281,25,Montaña de Arinaga eastern slope,Agüimes,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
116,WL:SNAIL:OCC:ES:00115,Helicidae,Theba arinagae,Theba,arinagae,,"E. Gittenberger & Ripken, 1987",17/09/2018,2018,(sub)fossil,40,,,estimate,27.870492,-15.390281,25,Montaña de Arinaga eastern slope,Agüimes,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
117,WL:SNAIL:OCC:ES:00116,Helicidae,Hemicycla saponacea,Hemicycla,saponacea,,"(R.T. Lowe, 1861)",17/09/2018,2018,(sub)fossil,2,0,2,exact,27.870492,-15.390281,25,Montaña de Arinaga eastern slope,Agüimes,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
118,WL:SNAIL:OCC:ES:00117,Trissexodontidae,Caracollina lenticula,Caracollina,lenticula,,"(Michaud, 1831)",17/09/2018,2018,(sub)fossil,2,0,2,exact,27.870492,-15.390281,25,Montaña de Arinaga eastern slope,Agüimes,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
119,WL:SNAIL:OCC:ES:00118,Pomatiidae,Pomatias adjunctus,Pomatias,adjunctus,,"(Mousson, 1872)",17/09/2018,2018,(sub)fossil,4,0,4,exact,27.870492,-15.390281,25,Montaña de Arinaga eastern slope,Agüimes,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
120,WL:SNAIL:OCC:ES:00119,Enidae,Napaeus cf. venegueraensis,Napaeus,cf. venegueraensis,,,17/09/2018,2018,(sub)fossil,3,0,3,exact,27.870492,-15.390281,25,Montaña de Arinaga eastern slope,Agüimes,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,"smaller and with a more pointed top, subadult of N. venegueraensis?"
121,WL:SNAIL:OCC:ES:00120,Geomitridae,Monilearia cf. praeposita,Monilearia,cf. praeposita,,,17/09/2018,2018,(sub)fossil,19,2,17,exact,27.870492,-15.390281,25,Montaña de Arinaga eastern slope,Agüimes,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,"convex shells, like the ones I found in Barranco de Guayadeque, but smaller"
122,WL:SNAIL:OCC:ES:00121,Geomitridae,Obelus pumilio,Obelus,pumilio,,"(Dillwyn, 1817)",17/09/2018,2018,(sub)fossil,20,,,estimate,27.870492,-15.390281,25,Montaña de Arinaga eastern slope,Agüimes,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
123,WL:SNAIL:OCC:ES:00122,Geomitridae,Obelus despreauxii,Obelus,despreauxii,,"(d´Orbigny, 1839)",17/09/2018,2018,(sub)fossil,25,,,estimate,27.870492,-15.390281,25,Montaña de Arinaga eastern slope,Agüimes,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
124,WL:SNAIL:OCC:ES:00123,Geomitridae,Obelus despreauxii,Obelus,despreauxii,,"(d´Orbigny, 1839)",17/09/2018,2018,empty shell,10,,,estimate,27.870492,-15.390281,25,Montaña de Arinaga eastern slope,Agüimes,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
125,WL:SNAIL:OCC:ES:00124,Geomitridae,Obelus despreauxii,Obelus,despreauxii,,"(d´Orbigny, 1839)",17/09/2018,2018,alive,1,0,1,exact,27.870492,-15.390281,25,Montaña de Arinaga eastern slope,Agüimes,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
126,WL:SNAIL:OCC:ES:00125,Helicidae,Theba arinagae,Theba,arinagae,,"E. Gittenberger & Ripken, 1987",17/09/2018,2018,empty shell,28,4,24,exact,27.87179,-15.391144,25,Montaña de Arinaga northeastern slope,Agüimes,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
127,WL:SNAIL:OCC:ES:00126,Helicidae,Theba arinagae,Theba,arinagae,,"E. Gittenberger & Ripken, 1987",17/09/2018,2018,alive,1,1,0,exact,27.871762,-15.396098,25,Montaña de Arinaga northwestern slope,Agüimes,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,N,,,Ward Langeraert,
128,WL:SNAIL:OCC:ES:00127,Geomitridae,Xerotricha aff. orbignii,Xerotricha,aff. orbignii,,,18/09/2018,2018,empty shell,1,1,0,exact,28.100607,-15.584695,25,Los Tilos de Moya location 1,Moya,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
129,WL:SNAIL:OCC:ES:00128,Geomitridae,Monilearia persimilis,Monilearia,persimilis,,"(Shuttleworth, 1852)",18/09/2018,2018,empty shell,8,3,5,exact,28.100607,-15.584695,25,Los Tilos de Moya location 1,Moya,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,"shell smaller and more diamond shaped than M. cf. praeposita, very variable in shell height"
130,WL:SNAIL:OCC:ES:00129,Oxychilidae,Oxychilus draparnaudi,Oxychilus,draparnaudi,,"(H. Beck, 1837)",18/09/2018,2018,empty shell,3,1,2,exact,28.100607,-15.584695,25,Los Tilos de Moya location 1,Moya,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
131,WL:SNAIL:OCC:ES:00130,Helicidae,Cornu aspersum,Cornu,aspersum,,"(O.F. Müller, 1774)",18/09/2018,2018,empty shell,2,2,0,exact,28.100607,-15.584695,25,Los Tilos de Moya location 1,Moya,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
132,WL:SNAIL:OCC:ES:00131,Enidae,Napaeus moquinianus,Napaeus,moquinianus,,"(Webb & Berthelot, 1833)",18/09/2018,2018,empty shell,30,,,estimate,28.100607,-15.584695,25,Los Tilos de Moya location 1,Moya,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
133,WL:SNAIL:OCC:ES:00132,Geomitridae,Xerotricha conspurcata,Xerotricha,conspurcata,,"(Draparnaud, 1801)",18/09/2018,2018,empty shell,2,2,0,exact,28.100607,-15.584695,25,Los Tilos de Moya location 1,Moya,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
134,WL:SNAIL:OCC:ES:00133,Enidae,Napaeus obesatus,Napaeus,obesatus,,"(Webb & Berthelot, 1833)",18/09/2018,2018,empty shell,18,4,14,exact,28.100607,-15.584695,25,Los Tilos de Moya location 1,Moya,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,some shells with strange aperture shape
135,WL:SNAIL:OCC:ES:00134,Punctidae,Paralaoma servilis,Paralaoma,servilis,,"(Shuttleworth, 1852)",18/09/2018,2018,empty shell,3,1,2,exact,28.100607,-15.584695,25,Los Tilos de Moya location 1,Moya,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
136,WL:SNAIL:OCC:ES:00135,Geomitridae,Xerotricha aff. orbignii,Xerotricha,aff. orbignii,,,18/09/2018,2018,empty shell,1,1,0,exact,28.095167,-15.590957,25,Los Tilos de Moya location 2,Moya,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
137,WL:SNAIL:OCC:ES:00136,Geomitridae,Monilearia persimilis,Monilearia,persimilis,,"(Shuttleworth, 1852)",18/09/2018,2018,empty shell,3,0,3,exact,28.095167,-15.590957,25,Los Tilos de Moya location 2,Moya,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,"shell smaller and more diamond shaped than M. cf. praeposita, very variable in shell height"
138,WL:SNAIL:OCC:ES:00137,Enidae,Napaeus moquinianus,Napaeus,moquinianus,,"(Webb & Berthelot, 1833)",18/09/2018,2018,empty shell,4,0,4,exact,28.095167,-15.590957,25,Los Tilos de Moya location 2,Moya,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
